name,path,url,tags
1-bit-and-2-bit-characters,leetcode\array\1-bit-and-2-bit-characters.cpp,https://leetcode.com/problems/1-bit-and-2-bit-characters/,;leetcode;array
check-if-word-can-be-placed-in-crossword,leetcode\array\check-if-word-can-be-placed-in-crossword.cpp,https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword/,;leetcode;array
count-asterisks,leetcode\array\count-asterisks.cpp,https://leetcode.com/problems/count-asterisks/,;leetcode;array
create-target-array-in-the-given-order,leetcode\array\create-target-array-in-the-given-order.cpp,https://leetcode.com/problems/create-target-array-in-the-given-order/,;leetcode;array
decompress-run-length-encoded-list,leetcode\array\decompress-run-length-encoded-list.cpp,https://leetcode.com/problems/decompress-run-length-encoded-list/,;leetcode;array
exam-room,leetcode\array\exam-room.cpp,https://leetcode.com/problems/exam-room/,;leetcode;array
fair-candy-swap,leetcode\array\fair-candy-swap.cpp,https://leetcode.com/problems/fair-candy-swap/,;leetcode;array
find-target-indices-after-sorting-array,leetcode\array\find-target-indices-after-sorting-array.cpp,https://leetcode.com/problems/find-target-indices-after-sorting-array/,;leetcode;array
flatten-nested-list-iterator,leetcode\array\flatten-nested-list-iterator.cpp,https://leetcode.com/problems/flatten-nested-list-iterator/,;leetcode;array
game-of-life,leetcode\array\game-of-life.cpp,https://leetcode.com/problems/game-of-life/,;leetcode;array
grid-game,leetcode\array\grid-game.cpp,https://leetcode.com/problems/grid-game/,;leetcode;array
image-smoother,leetcode\array\image-smoother.cpp,https://leetcode.com/problems/image-smoother/,;leetcode;array
jump-game-v,leetcode\array\jump-game-v.cpp,https://leetcode.com/problems/jump-game-v/,;leetcode;array
maximum-element-after-decreasing-and-rearranging,leetcode\array\maximum-element-after-decreasing-and-rearranging.cpp,https://leetcode.com/problems/maximum-element-after-decreasing-and-rearranging/,;leetcode;array
minimum-adjacent-swaps-for-k-consecutive-ones,leetcode\array\minimum-adjacent-swaps-for-k-consecutive-ones.cpp,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/,;leetcode;array
minimum-sum-of-squared-difference,leetcode\array\minimum-sum-of-squared-difference.cpp,https://leetcode.com/problems/minimum-sum-of-squared-difference/,;leetcode;array
number-of-students-unable-to-eat-lunch,leetcode\array\number-of-students-unable-to-eat-lunch.cpp,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/,;leetcode;array
removing-minimum-number-of-magic-beans,leetcode\array\removing-minimum-number-of-magic-beans.cpp,https://leetcode.com/problems/removing-minimum-number-of-magic-beans/,;leetcode;array
